sr.no,Manufacturer,Category,Screen,GPU,graphics card,OS,CPU_core,Screen_Size_cm,CPU_frequency(ghz),CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,price group
1,Acer,4,IPS Panel,2,2gb,1,5,35.56,less than 2ghz,1.6,8,256,1.6,978,1000-1500$
2,Dell,3,Full HD,1,1gb,1,3,39.624,2-2.5 ghz,2,4,256,2.2,634,1000-1500$
3,Dell,3,Full HD,1,1gb,1,7,39.624,2.5 -3 ghz,2.7,8,256,2.2,946,1000-1500$
4,Dell,4,IPS Panel,2,2gb,1,5,33.782,less than 2ghz,1.6,8,128,1.22,1244,1000-1500$
5,HP,4,Full HD,2,2gb,1,7,39.624,less than 2ghz,1.8,8,256,1.91,837,500-1000$
6,Dell,3,Full HD,1,1gb,1,5,39.624,less than 2ghz,1.6,8,256,2.2,1016,1000-1500$
7,HP,3,Full HD,3,3gb,1,5,39.624,less than 2ghz,1.6,8,256,2.1,1117,500-1000$
8,Acer,3,IPS Panel,2,2gb,1,5,38.1,less than 2ghz,1.6,4,256,2.2,866,2000-3000$
9,Dell,3,Full HD,1,1gb,1,5,39.624,2-2.5 ghz,2.5,4,256,2.3,812,1000-1500$
10,Acer,3,IPS Panel,3,3gb,1,7,38.1,less than 2ghz,1.8,8,256,2.2,1068,1000-1500$
11,Dell,3,Full HD,1,1gb,1,7,39.624,less than 2ghz,1.8,8,256,2.13,975,1000-1500$
12,HP,3,Full HD,2,2gb,1,3,39.624,2-2.5 ghz,2,4,128,1.91,558,500-1000$
13,Asus,3,Full HD,2,2gb,2,3,39.624,2-2.5 ghz,2,4,256,2,527,500-1000$
14,Dell,4,Full HD,2,2gb,1,5,35.56,less than 2ghz,1.6,8,256,1.7,1117,1000-1500$
15,Asus,3,Full HD,2,2gb,1,5,35.56,less than 2ghz,1.6,8,256,1.4,1195,1500-2000$
16,HP,3,Full HD,2,2gb,1,5,39.624,2-2.5 ghz,2.5,8,256,1.86,876,1500-2000$
17,Dell,4,IPS Panel,1,1gb,1,7,33.02,less than 2ghz,1.8,8,256,1.4,1213,500-1000$
18,Dell,3,Full HD,1,1gb,1,7,39.624,less than 2ghz,1.8,8,256,2.2,1105,1000-1500$
19,Dell,4,IPS Panel,2,2gb,1,5,38.1,less than 2ghz,1.6,8,256,1.88,1392,1000-1500$
20,HP,3,Full HD,2,2gb,1,5,35.56,less than 2ghz,1.6,8,256,1.63,1092,1000-1500$
21,HP,4,IPS Panel,3,3gb,1,7,38.1,less than 2ghz,1.8,8,256,1.83,888,500-1000$
22,HP,3,Full HD,2,2gb,1,5,39.624,2-2.5 ghz,2.5,8,256,1.96,761,500-1000$
23,Dell,4,IPS Panel,2,2gb,1,7,33.02,less than 2ghz,1.8,8,256,1.21,2095,1000-1500$
24,Dell,1,Full HD,3,3gb,1,5,39.624,2-2.5 ghz,2.5,8,256,2.65,1518,1500-2000$
25,Asus,4,Full HD,2,2gb,1,7,35.56,2.5 -3 ghz,2.7,8,256,1.25,1333,2000-3000$
26,Dell,3,Full HD,1,1gb,2,3,39.624,2-2.5 ghz,2,4,256,2.2,616,500-1000$
27,Asus,3,Full HD,3,3gb,1,3,39.624,2-2.5 ghz,2.4,6,256,2,733,500-1000$
28,HP,3,Full HD,1,1gb,1,7,39.624,2.5 -3 ghz,2.7,8,256,1.91,913,1500-2000$
29,HP,4,IPS Panel,3,3gb,1,7,33.02,2.5 -3 ghz,2.7,8,256,1.38,1421,1000-1500$
30,HP,3,IPS Panel,3,,1,5,35.56,,2.5,6,256,,837,
31,Asus,4,IPS Panel,3,3gb,1,7,35.56,2.5 -3 ghz,2.7,8,256,1.3,1515,2000-3000$
32,Lenovo,3,IPS Panel,2,2gb,1,7,35.56,2.5 -3 ghz,2.7,8,256,1.58,1880,500-1000$
